Cancer,Incidence,Mortality
Bladder cancer,49917,20332
Bowel cancer,295245,92806
Brain cancer,31941,24688
Breast cancer,279145,59648
Colon cancer,194249,60674
Head and neck excluding lip,59663,20366
Head and neck including lip,80150,20652
Kidney cancer,52293,18728
Liver cancer,24437,22362
Lung cancer,205401,163590
Melanoma of the skin,224430,27046
Myeloma,28263,16422
Non-Hodgkin lymphoma,86822,31626
Oesophageal cancer,26670,24524
Pancreatic cancer,49532,45160
Prostate cancer,181202,32067
Rectal cancer,100992,32132
Stomach cancer,42604,25260
Thyroid cancer,35209,2230
Unknown primary site,63369,50230
